episode,ticker,total_reward,final_balance,num_trades,win_rate,max_drawdown,std,new_best,is_bankrupt
16,ICICIBANK.NS,0.2031,10047.41,87,0.5977,0.0912,0.2682,False,False
17,ICICIBANK.NS,-0.9115,10882.1,92,0.5435,0.073,0.2676,False,False
18,ICICIBANK.NS,-23.0819,8600.56,80,0.4375,0.204,0.2671,False,False
19,HINDUNILVR.NS,-1.3788,9305.53,83,0.5542,0.1142,0.2666,False,False
20,ICICIBANK.NS,-2.8407,9231.37,86,0.5,0.1398,0.266,False,False
1,HINDUNILVR.NS,-1.1631,9077.34,77,0.5714,0.1064,0.2655,False,False
2,HINDUNILVR.NS,-2.0632,9941.02,72,0.4306,0.1555,0.265,False,False
3,HINDUNILVR.NS,0.8758,10956.45,78,0.5256,0.0493,0.2645,False,False
4,ICICIBANK.NS,-0.2844,9649.48,79,0.519,0.1051,0.2639,False,False
5,HINDUNILVR.NS,-2.1957,8796.53,79,0.4937,0.1316,0.2634,False,False
6,HINDUNILVR.NS,-3.0319,9015.6,79,0.443,0.1146,0.2629,False,False
7,HINDUNILVR.NS,-0.3879,10486.7,82,0.5,0.0642,0.2623,False,False
8,HINDUNILVR.NS,-336.2069,8046.84,87,0.3908,0.2181,0.2618,False,False
9,HINDUNILVR.NS,-2.1335,9398.82,84,0.5119,0.0982,0.2613,False,False
10,ICICIBANK.NS,-1.7853,9265.29,77,0.4805,0.1546,0.2608,False,False
11,HINDUNILVR.NS,0.0226,10351.6,79,0.5063,0.0656,0.2602,False,False
12,HINDUNILVR.NS,-0.1683,10550.13,79,0.5316,0.0545,0.2597,False,False
13,ICICIBANK.NS,-2.2216,9602.93,77,0.6104,0.1001,0.2592,False,False
14,HINDUNILVR.NS,-1.3878,9937.9,82,0.561,0.1168,0.2587,False,False
15,ICICIBANK.NS,0.3057,10532.31,84,0.5714,0.0729,0.2582,False,False
16,HINDUNILVR.NS,-2.3596,8996.38,82,0.5,0.1373,0.2577,False,False
17,HINDUNILVR.NS,-1.8395,9082.16,83,0.5663,0.1207,0.2571,False,False
18,HINDUNILVR.NS,-1.4933,9792.48,89,0.5056,0.1226,0.2566,False,False
19,ICICIBANK.NS,0.5033,10821.29,89,0.5618,0.0841,0.2561,False,False
20,HINDUNILVR.NS,-1.0712,10149.33,89,0.4719,0.0836,0.2556,False,False
21,HINDUNILVR.NS,-0.4446,9919.54,85,0.5765,0.0686,0.2551,False,False
22,ICICIBANK.NS,-1.6308,9668.87,84,0.5119,0.0783,0.2546,False,False
23,ICICIBANK.NS,1.0218,10910.67,83,0.5904,0.1356,0.2541,False,False
24,ICICIBANK.NS,0.4338,9690.42,81,0.4938,0.077,0.2536,False,False
25,HINDUNILVR.NS,-1.4698,9777.3,81,0.4938,0.0794,0.2531,False,False
26,HINDUNILVR.NS,-2.0863,8680.81,82,0.4878,0.1379,0.2526,False,False
27,HINDUNILVR.NS,-1.0988,10010.76,80,0.575,0.0674,0.252,False,False
28,HINDUNILVR.NS,-2.0382,9182.86,80,0.475,0.1309,0.2515,False,False
29,ICICIBANK.NS,0.4596,9820.54,81,0.5679,0.1493,0.251,False,False
30,HINDUNILVR.NS,-0.4827,10432.77,76,0.5789,0.0263,0.2505,False,False
31,HINDUNILVR.NS,-0.5689,9756.0,75,0.5467,0.0881,0.25,False,False
32,HINDUNILVR.NS,-0.9054,10333.87,84,0.5476,0.0625,0.2495,False,False
33,HINDUNILVR.NS,-0.7198,10346.82,74,0.4865,0.1246,0.249,False,False
34,HINDUNILVR.NS,-1.8073,9623.16,70,0.4857,0.0585,0.2485,False,False
35,ICICIBANK.NS,-1.2956,9321.92,73,0.5342,0.115,0.248,False,False
36,HINDUNILVR.NS,-1.0604,9820.7,77,0.5455,0.0581,0.2475,False,False
37,ICICIBANK.NS,-493.3464,7411.71,78,0.4359,0.2868,0.247,False,False
38,ICICIBANK.NS,-2.3566,9713.47,77,0.5195,0.1242,0.2466,False,False
39,ICICIBANK.NS,-2.6895,9114.39,83,0.5422,0.1163,0.2461,False,False
40,HINDUNILVR.NS,-0.816,9741.34,89,0.4944,0.1037,0.2456,False,False
